District,County Name,City,Locale,Charter,Students,Teachers,Student Teacher Ratio,Directly Certified,Type
Marlborough,Middlesex County,Marlborough,"Suburban, Large",No,965,103.36,9.34,600,Regular
Lynn,Essex County,Lynn,"Suburban, Large",No,488,41.67,11.71,404,Regular
Newton,Middlesex County,Waban,"City, Small",No,383,38.1,10.05,30,Regular
Blackstone-Millville,Worcester County,Blackstone,"Suburban, Large",No,0,0,†,†,Regular
Revere,Suffolk County,Revere,"Suburban, Large",No,658,60.78,10.83,418,Regular
Attleboro,Bristol County,Attleboro,"Suburban, Large",No,372,25.93,14.35,150,Regular
Westford,Middlesex County,Westford,"Suburban, Large",No,371,28.44,13.05,25,Regular
Florida,Berkshire County,Florida,"Rural, Fringe",No,83,16,5.19,28,Regular
Abby Kelley Foster Charter Public,Worcester County,Worcester,"City, Midsize",Yes,1426,125.99,11.32,825,Regular
Abington,Plymouth County,Abington,"Suburban, Large",No,82,4,20.5,17,Regular
Abington,Plymouth County,Abington,"Suburban, Large",No,530,46.87,11.31,183,Regular
Abington,Plymouth County,Abington,"Suburban, Large",No,668,47.54,14.05,202,Regular
Westfield,Hampden County,Westfield,"Suburban, Large",No,196,18.17,10.79,144,Regular
Lynn,Essex County,Lynn,"Suburban, Large",No,224,19.35,11.58,122,Regular
Revere,Suffolk County,Revere,"Suburban, Large",No,600,52.33,11.47,412,Regular
New Bedford,Bristol County,New Bedford,"Suburban, Midsize",No,687,49.7,13.82,573,Regular
Lowell,Middlesex County,Lowell,"Suburban, Large",No,492,41,12,387,Regular
Weymouth,Norfolk County,Weymouth,"Suburban, Large",No,357,23.63,15.11,146,Regular
Academy Of the Pacific Rim Charter Public,Suffolk County,Hyde Park,"City, Large",Yes,509,55.3,9.2,323,Regular
Acton-Boxborough,Middlesex County,Acton,"Suburban, Large",No,1622,120.21,13.49,176,Regular
Acushnet,Bristol County,Acushnet,"Suburban, Midsize",No,517,39.05,13.24,164,Regular
Boston,Suffolk County,East Boston,"City, Large",No,237,33.6,7.05,180,Regular
Everett,Middlesex County,Everett,"Suburban, Large",No,162,9,18,107,Regular
Lunenburg,Worcester County,Lunenburg,"Suburban, Midsize",No,10,1,10,6,Special Education
Advanced Math and Science Academy Charter,Middlesex County,Marlborough,"Suburban, Large",Yes,970,81.64,11.88,†,Regular
Agawam,Hampden County,Agawam,"Suburban, Large",No,135,7,19.29,61,Regular
Agawam,Hampden County,Agawam,"Suburban, Large",No,1025,93.29,10.99,385,Regular
Agawam,Hampden County,Feeding Hills,"Suburban, Large",No,527,60.07,8.77,221,Regular
